 Região ; UF ; Período ; Quantidade de Leite Cru (mil litros) ; Preço médio (reais por litro) ;;
 Norte ;Rondônia;1T-2025;69;2,47;;
 Norte ;Acre;1T-2025;10;2,07;;
 Norte ;Amazonas;1T-2025;21;2,12;;
 Norte ;Pará;1T-2025;30;2,24; e ;
 Nordeste ;Tocantins;1T-2025;37;2,17;;
 Nordeste ;Maranhão;1T-2025;18;2,3;;
 Nordeste ;Piauí;1T-2025;9;2,42;;
 Nordeste ;Ceará;1T-2025;78;2,43;;
 Nordeste ;Rio Grande do Norte;1T-2025;23;2,45;;
 Nordeste ;Paraíba;1T-2025;19;2,34;;
 Nordeste ;Pernambuco;1T-2025;62;2,28;;
 Nordeste ;Alagoas;1T-2025;37;2,43;;
 Nordeste ;Sergipe;1T-2025;17;2,53;;
 Nordeste ;Bahia;1T-2025;100;2,35;;
 Sudeste ;Minas Gerais;1T-2025;587;2,82;;
 Sudeste ;Espírito Santo;1T-2025;45;2,7;;
 Sudeste ;Rio de Janeiro;1T-2025;84;2,88;;
 Sudeste ;São Paulo;1T-2025;153;2,84;;
 Sul ;Paraná;1T-2025;155;2,83;;
 Sul ;Santa Catarina;1T-2025;92;2,87;;
 Sul ;Rio Grande do Sul;1T-2025;134;2,73;;
 Centro-Oeste ;Mato Grosso do Sul;1T-2025;39;2,38;;
 Centro-Oeste ;Mato Grosso;1T-2025;40;2,21;;
 Centro-Oeste ;Goiás;1T-2025;114;2,91;;
 Norte ;Rondônia;2T-2025;72;2,38;;
 Norte ;Acre;2T-2025;10;2,14;;
 Norte ;Amazonas;2T-2025;22;2,22;;
 Norte ;Pará;2T-2025;28;2,3;;
 Nordeste ;Tocantins;2T-2025;36;2,17;;
 Nordeste ;Maranhão;2T-2025;18;2,36;;
 Nordeste ;Piauí;2T-2025;9;2,43;;
 Nordeste ;Ceará;2T-2025;77;2,4;;
 Nordeste ;Rio Grande do Norte;2T-2025;23;2,46;;
 Nordeste ;Paraíba;2T-2025;19;2,34;;
 Nordeste ;Pernambuco;2T-2025;65;2,27;;
 Nordeste ;Alagoas;2T-2025;36;2,45;;
 Nordeste ;Sergipe;2T-2025;19;2,52;;
 Nordeste ;Bahia;2T-2025;101;2,4;;
 Sudeste ;Minas Gerais;2T-2025;572;2,82;;
 Sudeste ;Espírito Santo;2T-2025;45;2,76;;
 Sudeste ;Rio de Janeiro;2T-2025;80;2,85;;
 Sudeste ;São Paulo;2T-2025;153;2,83;;
 Sul ;Paraná;2T-2025;153;2,86;;
 Sul ;Santa Catarina;2T-2025;90;2,78;;
 Sul ;Rio Grande do Sul;2T-2025;132;2,69;;
 Centro-Oeste ;Mato Grosso do Sul;2T-2025;38;2,52;;
 Centro-Oeste ;Mato Grosso;2T-2025;41;2,27;;
 Centro-Oeste ;Goiás;2T-2025;112;2,84;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
